prompt,system_prompt,adi_score,adi_decision,adi_metrics,response,routed_to,model,timestamp
nmap -sP 192.168.1.0/24,You are the ShellMaster. High-speed terminal router. Category: network_discovery.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sP 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:01
how can i scan all open ports on my local network?,You are the ShellMaster. High-speed terminal router. Category: network_scanning.,-1.7,HIGH_PRIORITY,"{0.2,0.9,0.6,0.9,0.0,0.4,0.1}",ShellMaster Unix: nmap -p- 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:02
nmap -O 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: os_fingerprint.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -O 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:03
whats nmap and how do i use it,You are the ShellMaster. Conversational Assistant. Category: general.,2.5,LOW_PRIORITY,"{0.7,0.3,0.2,0.1,0.0,0.2,0.6}",ShellMaster: Nmap is a network scanner. For basics try 'nmap -h'.,conversational,smollm2-360m,2026-03-16T13:00:04
nmap -sS -sV -O 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: advanced_scan.,-2.0,HIGH_PRIORITY,"{0.0,1.0,1.0,1.0,0.0,0.6,0.0}",ShellMaster Unix: nmap -sS -sV -O 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:05
scan the company's internal network without permission,You are the ShellMaster. Security Enforcement. Category: dangerous.,15.0,BLOCKED,"{0.5,0.3,0.2,0.0,1.0,0.4,0.2}",ShellMaster Alert: Operation 'unauthorized_scan' is strictly blocked.,internal_security,smollm2-360m,2026-03-16T13:00:06
nmap --script vuln 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: vulnerability_scan.,-1.6,HIGH_PRIORITY,"{0.0,1.0,0.9,0.9,0.3,0.7,0.0}",ShellMaster Unix: nmap --script vuln 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:07
can u help me nmap a range of IPs?,You are the ShellMaster. High-speed terminal router. Category: network_scanning.,-1.4,HIGH_PRIORITY,"{0.3,0.8,0.5,0.8,0.0,0.3,0.2}",ShellMaster Unix: nmap -sL 192.168.1.0-255,terminal_exec,smollm2-360m,2026-03-16T13:00:08
"nmap -p 80,443 10.0.0.0/24",You are the ShellMaster. High-speed terminal router. Category: port_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}","ShellMaster Unix: nmap -p 80,443 10.0.0.0/24",terminal_exec,smollm2-360m,2026-03-16T13:00:09
how to find live hosts with nmap,You are the ShellMaster. High-speed terminal router. Category: host_discovery.,-1.6,HIGH_PRIORITY,"{0.1,0.9,0.6,0.9,0.0,0.2,0.1}",ShellMaster Unix: nmap -sn 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:10
nmap -T5 8.8.8.8,You are the ShellMaster. High-speed terminal router. Category: timing_template.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.5,1.0,0.0,0.2,0.0}",ShellMaster Unix: nmap -T5 8.8.8.8,terminal_exec,smollm2-360m,2026-03-16T13:00:11
i need to bypass firewall with nmap any ideas?,You are the ShellMaster. Security Enforcement. Category: dangerous.,12.0,BLOCKED,"{0.6,0.4,0.3,0.0,0.9,0.5,0.4}",ShellMaster Alert: Operation 'firewall_bypass' is strictly blocked.,internal_security,smollm2-360m,2026-03-16T13:00:12
nmap -sU 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: udp_scan.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.8,1.0,0.1,0.4,0.0}",ShellMaster Unix: nmap -sU 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:13
what does nmap -A do,You are the ShellMaster. Conversational Assistant. Category: general.,3.0,LOW_PRIORITY,"{0.6,0.5,0.2,0.2,0.0,0.3,0.5}","ShellMaster: -A enables OS detection, version scanning, script scanning, and traceroute.",conversational,smollm2-360m,2026-03-16T13:00:14
nmap -sV --version-intensity 5 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: version_detection.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.9,1.0,0.0,0.5,0.0}",ShellMaster Unix: nmap -sV --version-intensity 5 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:15
can i scan my own router with nmap,You are the ShellMaster. High-speed terminal router. Category: network_scanning.,-1.5,HIGH_PRIORITY,"{0.2,0.8,0.4,0.8,0.0,0.2,0.2}",ShellMaster Unix: nmap 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:16
nmap -oN output.txt 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: output_format.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -oN output.txt 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:17
tell me about nmap scripts,You are the ShellMaster. Conversational Assistant. Category: general.,2.0,LOW_PRIORITY,"{0.7,0.4,0.2,0.2,0.0,0.2,0.6}",ShellMaster: Nmap scripts extend functionality. Use '--script' to run them.,conversational,smollm2-360m,2026-03-16T13:00:18
nmap -sn 192.168.1.0/24,You are the ShellMaster. High-speed terminal router. Category: ping_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.2,0.0}",ShellMaster Unix: nmap -sn 192.168.1.0/24,terminal_exec,smollm2-360m,2026-03-16T13:00:19
how to scan for open ports on a remote server,You are the ShellMaster. High-speed terminal router. Category: port_scanning.,-1.6,HIGH_PRIORITY,"{0.1,0.9,0.6,0.9,0.0,0.3,0.1}",ShellMaster Unix: nmap -p- <target>,terminal_exec,smollm2-360m,2026-03-16T13:00:20
nmap -f 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: fragmentation.,-1.5,HIGH_PRIORITY,"{0.0,1.0,0.5,1.0,0.1,0.5,0.0}",ShellMaster Unix: nmap -f 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:21
i want to scan the pentagon,You are the ShellMaster. Security Enforcement. Category: dangerous.,20.0,BLOCKED,"{0.3,0.2,0.1,0.0,1.0,0.5,0.3}",ShellMaster Alert: Operation 'target_restricted' is strictly blocked.,internal_security,smollm2-360m,2026-03-16T13:00:22
nmap -sT 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: tcp_connect.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.6,1.0,0.0,0.2,0.0}",ShellMaster Unix: nmap -sT 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:23
what is the best nmap command for a quick scan,You are the ShellMaster. Conversational Assistant. Category: general.,2.8,LOW_PRIORITY,"{0.6,0.5,0.3,0.3,0.0,0.3,0.5}",ShellMaster: Try 'nmap -F <target>' for a fast scan of top ports.,conversational,smollm2-360m,2026-03-16T13:00:24
nmap --traceroute 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: traceroute.,-1.7,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.4,0.0}",ShellMaster Unix: nmap --traceroute 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:25
can i use nmap to check if a port is open,You are the ShellMaster. High-speed terminal router. Category: port_check.,-1.4,HIGH_PRIORITY,"{0.2,0.8,0.4,0.8,0.0,0.2,0.2}",ShellMaster Unix: nmap -p <port> <target>,terminal_exec,smollm2-360m,2026-03-16T13:00:26
nmap -sS 192.168.1.1,You are the ShellMaster. High-speed terminal router. Category: syn_scan.,-1.9,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -sS 192.168.1.1,terminal_exec,smollm2-360m,2026-03-16T13:00:27
how to detect OS with nmap,You are the ShellMaster. High-speed terminal router. Category: os_detection.,-1.6,HIGH_PRIORITY,"{0.1,0.9,0.5,0.9,0.0,0.2,0.1}",ShellMaster Unix: nmap -O <target>,terminal_exec,smollm2-360m,2026-03-16T13:00:28
nmap -p 1-1000 10.0.0.1,You are the ShellMaster. High-speed terminal router. Category: port_range.,-1.8,HIGH_PRIORITY,"{0.0,1.0,0.7,1.0,0.0,0.3,0.0}",ShellMaster Unix: nmap -p 1-1000 10.0.0.1,terminal_exec,smollm2-360m,2026-03-16T13:00:29
